Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassi,-0.00273957249813026,0,-0.0358542729676732,0,0,0,28.1975496713599,0.0967682251741125,-6.20855073866151E-18,0.00154816882794152,0.213605558592681,-9.22777957284755E-19,0.27721568675433,0,0,0,0,0,0,package://project2_pkg/meshes/chassi.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://project2_pkg/meshes/chassi.STL,,Chassi-1,chassi_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
flw,-2.08166817117217E-16,-3.92047505570758E-16,-0.025,0,0,0,0.109315820418966,5.08403848301778E-05,-1.41368946125236E-21,-4.88406022657881E-20,5.08403848301778E-05,-1.04374504192198E-20,6.65918325303455E-05,0,0,0,0,0,0,package://project2_pkg/meshes/flw.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://project2_pkg/meshes/flw.STL,,wheel-1,flw_cs,Axis_flw_joint,flw_joint,continuous,0.09,0.115,-0.063,1.5708,0,3.1416,chassi,0,0,1,,,,,,,,,,,,
rlw,-3.60822483003176E-16,-2.4459601011273E-16,-0.025,0,0,0,0.109315820418966,5.08403848301778E-05,-4.47128279588246E-22,-4.70707831224661E-20,5.08403848301778E-05,1.91692662381799E-20,6.65918325303455E-05,0,0,0,0,0,0,package://project2_pkg/meshes/rlw.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://project2_pkg/meshes/rlw.STL,,wheel-2,rlw_cs,Axis_rlw_joint,rlw_joint,continuous,-0.09,0.115,-0.063,1.5708,0,3.1416,chassi,0,0,1,,,,,,,,,,,,
rrw,9.71445146547012E-17,-4.26741975090295E-16,0.025,0,0,0,0.109315820418966,5.08403848301778E-05,-9.22254748831782E-21,-4.34376393997599E-20,5.08403848301778E-05,1.89041222569318E-20,6.65918325303455E-05,0,0,0,0,0,0,package://project2_pkg/meshes/rrw.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://project2_pkg/meshes/rrw.STL,,wheel-3,rrw_cs,Axis_rrw_joint,rrw_joint,continuous,-0.09,-0.115,-0.063,1.5708,0,3.1416,chassi,0,0,1,,,,,,,,,,,,
frw,4.16333634234434E-16,-1.07552855510562E-16,0.025,0,0,0,0.109315820418966,5.08403848301778E-05,-6.75672164286764E-22,-3.81073407790736E-20,5.08403848301778E-05,-3.21509152907343E-20,6.65918325303455E-05,0,0,0,0,0,0,package://project2_pkg/meshes/frw.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://project2_pkg/meshes/frw.STL,,wheel-4,frw_cs,Axis_frw_joint,frw_joint,continuous,0.09,-0.115,-0.063,1.5708,0,3.1416,chassi,0,0,1,,,,,,,,,,,,
link1,-3.21003580314172E-09,4.26012929446995E-08,0.0677439661630031,0,0,0,0.341621414343317,0.000648673582132355,-4.90273211581649E-11,-1.80619345004339E-11,0.000651814897033303,-6.89923725737733E-10,7.45993662586312E-05,0,0,0,0,0,0,package://project2_pkg/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://project2_pkg/meshes/link1.STL,,ra_link1-1,xyz0_cs,Axis_link1_joint,link1_joint,revolute,0,0,0,0,0,3.1416,chassi,0,0,1,0,0,0,0,,,,,,,,
link2,-4.70220331422189E-10,0.0466681240720445,-0.0104201481503879,0,0,0,0.10888313052851,0.000419192112350754,3.46492647492807E-12,1.3319581537547E-13,2.51973970216068E-05,1.81952364827832E-05,0.000412191041793907,0,0,0,0,0,0,package://project2_pkg/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://project2_pkg/meshes/link2.STL,,ra_link2-1,xyz1_cs,Axis_link2_joint,link2_joint,revolute,0,0.00375,0.15,1.5708,0,0,link1,0.15203,0,0.98838,0,0,0,0,,,,,,,,
link3,-0.00116814839173087,0.0597908763668615,0.00120341101632475,0,0,0,0.0221942373570941,4.04580709256211E-05,5.79817985829224E-07,1.51325476356364E-13,2.14599324989843E-06,-8.01720827635084E-12,4.15261418916344E-05,0,0,0,0,0,0,package://project2_pkg/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://project2_pkg/meshes/link3.STL,,ra_link3-1,xyz2_cs,axis2,link3_joint,revolute,0,0.14983,-0.0069534,0,0,0,link2,0,0,-1,0,0,0,0,,,,,,,,
link4,-1.73472347597681E-17,0.0443885505101979,1.04083408558608E-17,0,0,0,0.0165310476988243,1.41637233039097E-05,-6.13703140395745E-21,7.08782812029796E-23,6.27395853241919E-07,-4.07242755715004E-22,1.44343317447862E-05,0,0,0,0,0,0,package://project2_pkg/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://project2_pkg/meshes/link4.STL,,ra_link4-1,xyz3_cs,axis3,link4_joint,revolute,-0.0014042,0.10017,0.0012034,0,0,0,link3,0,0,-1,0,0,0,0,,,,,,,,
ef,0.000101260767846219,-4.85722573273506E-17,-0.031758493484343,0,0,0,0.155748244072589,0.000191499189668445,-1.73105957741762E-19,3.08900711374907E-08,0.000141197130023078,2.09102408995788E-20,0.00025525841201498,0,0,0,0,0,0,package://project2_pkg/meshes/ef.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://project2_pkg/meshes/ef.STL,,ef-1,xyz4_cs,Axis_ef_joint,ef_joint,revolute,0,0.085,0,-1.5708,0,-3.1416,link4,-0.9462,0.14554,0.28902,0,0,0,0,,,,,,,,
